,metric,result,time
0,Silhouette,correct,0.911 ms
1,Complementary Entropy,wrong,0.216 ms
2,Reciprocal Davies-Bouldin,correct,0.491 ms
3,Dunn index,correct,0.284 ms
4,Calinski-Harabasz,correct,0.179 ms
5,Gap Statistic,correct,221.229 ms
