,metric,result,time
0,Silhouette,correct,0.905 s
1,Complementary Entropy,wrong,0.0005 s
2,Reciprocal Davies-Bouldin,correct,0.004 s
3,Dunn index,correct,0.402 s
4,Calinski-Harabasz,correct,0.001 s
5,Gap Statistic,correct,0.266 s
