,metric,result,time
0,Silhouette,correct,0.958 sec
1,Complementary Entropy,wrong,0.001 sec
2,Reciprocal Davies-Bouldin,correct,0.002 sec
3,Dunn index,wrong,0.421 sec
4,Calinski-Harabasz,correct,0.421 sec
5,Gap Statistic,wrong,0.271 sec
