,metric,result,average time
0,Silhouette,correct,1.065 sec
1,Complementary Entropy,wrong,0.0006 sec
2,Reciprocal Davies-Bouldin,correct,0.003 sec
3,Dunn index,correct,0.459 sec
4,Calinski-Harabasz,correct,0.001 sec
5,Gap Statistic,correct,0.275 sec
