,metric,result,time
0,Silhouette,correct,1.008 sec
1,Complementary Entropy,wrong,0.0007 sec
2,Reciprocal Davies-Bouldin,correct,0.001 sec
3,Dunn index,correct,0.417 sec
4,Calinski-Harabasz,correct,0.001 sec
5,Gap Statistic,correct,0.283 sec
