,metric,result,average time
0,Silhouette,wrong,0.002 s
1,Complementary Entropy,wrong,0.0002 s
2,Reciprocal Davies-Bouldin,wrong,0.0004 s
3,Dunn index,wrong,0.0007 s
4,Calinski-Harabasz,wrong,0.0002 s
5,Gap Statistic,wrong,0.04 s
