,metric,result,time
0,Silhouette,Correct,0.946 ms
1,Complementary Entropy,Correct,0.211 ms
2,Reciprocal Davies-Bouldin,Correct,0.569 ms
3,Dunn index,Correct,0.815 ms
4,Calinski-Harabasz,Correct,0.705 ms
5,Gap Statistic,Correct,15.239 ms
