,metric,result,time
0,Silhouette,Correct,2.125 ms
1,Complementary Entropy,Correct,0.221 ms
2,Reciprocal Davies-Bouldin,Correct,0.697 ms
3,Dunn index,Correct,0.892 ms
4,Calinski-Harabasz,Correct,0.796 ms
5,Gap Statistic,Correct,251.722 ms
