,metric,result,time
0,Silhouette,Wrong,2.785 ms
1,Complementary Entropy,Correct,0.692 ms
2,Reciprocal Davies-Bouldin,Wrong,2.811 ms
3,Dunn index,Correct,2.647 ms
4,Calinski-Harabasz,Wrong,1.948 ms
5,Gap Statistic,Wrong,48.728 ms
