,metric,result,time
0,Silhouette,Correct,1.855 ms
1,Complementary Entropy,Correct,49.144 ms
2,Reciprocal Davies-Bouldin,Correct,1.306 ms
3,Dunn index,Correct,1.531 ms
4,Calinski-Harabasz,Correct,4.091 ms
5,Gap Statistic,Wrong,767.16 ms
