,metric,result,time
0,Silhouette,Wrong,0.865 ms
1,Complementary Entropy,Correct,0.219 ms
2,Reciprocal Davies-Bouldin,Correct,0.567 ms
3,Dunn index,Correct,0.826 ms
4,Calinski-Harabasz,Correct,0.757 ms
5,Gap Statistic,Correct,19.9 ms
