,metric,result,time
0,Silhouette,Correct,2.066 ms
1,Complementary Entropy,Correct,3.029 ms
2,Reciprocal Davies-Bouldin,Correct,3.856 ms
3,Dunn index,Correct,8.683 ms
4,Calinski-Harabasz,Correct,2.577 ms
5,Gap Statistic,Correct,29.218 ms
